Nombre del local,ID de pedido,ID del restaurante,Método de entrega,Forma de pago,Estado del pedido,Fecha del pedido,Aceptado en,Lista para retiro,Rider near pickup at,Enviado a,Entregado en,Cancelado en,Motivo de rechazo,Tipo de rechazo,Total del pedido,Tarifa mínima por pedido,Vendor Refunds,Descuentos subsidiados por la tienda,Voucher subsidiado por la tienda,Servicio PedidosYa,Cargos,Joker Fee,Is Payable,Is Paid,Ingreso estimado,Cash amount already collected by vendor,Monto adeudado a PedidosYa,Payout Amount,PedidosYa-Funded Discount,PedidosYa-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Artículos
Starbucks Galería 360,1189492738,183569,Plataforma de entrega,Online,Entregado,2024-06-01 07:03,2024-06-01 07:03,,2024-06-01 07:09,2024-06-01 07:13,2024-06-01 07:23,,,,"1.130,00","0,00","0,00","0,00","0,00","180,80","0,00","0,00",,,"945,13","0,00","0,00","945,13","0,00","0,00","0,00","0,00","0,00","2 Banana Nut Loaf, 2 Croissant de Mantequilla, 2 Pan De Chocolate"
Starbucks Galería 360,1189493009,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 07:57,2024-06-01 07:57,,2024-06-01 07:58,2024-06-01 08:02,2024-06-01 08:17,,,,"380,00","0,00","0,00","0,00","0,00","60,80","0,00","0,00",,,"317,83","0,00","0,00","317,83","0,00","0,00","0,00","0,00","0,00","1 Vanilla Bean Latte [1 Grande 16oz, 1 Soya, 1 No]"
Starbucks Galería 360,1189493610,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 08:29,2024-06-01 08:30,,2024-06-01 08:31,2024-06-01 08:37,2024-06-01 08:59,,,,"610,00","0,00","0,00","0,00","0,00","97,60","0,00","0,00",,,"510,20","0,00","0,00","510,20","0,00","0,00","0,00","0,00","0,00",2 Strawberry Acai [1 Venti 20oz]
Starbucks Galería 360,1189508097,183569,Plataforma de entrega,Online,Entregado,2024-06-01 07:09,2024-06-01 07:10,,2024-06-01 07:13,2024-06-01 07:15,2024-06-01 07:22,,,,"730,00","0,00","0,00","0,00","0,00","116,80","0,00","0,00",,,"610,57","0,00","0,00","610,57","0,00","0,00","0,00","0,00","0,00","2 Mocha Frappuccino® [1 Entera, 1 Grande 16oz]"
Starbucks Galería 360,1189508534,183569,Plataforma de entrega,Online,Entregado,2024-06-01 08:10,2024-06-01 08:10,,2024-06-01 08:16,2024-06-01 08:19,2024-06-01 08:31,,,,"395,00","0,00","0,00","0,00","0,00","63,20","0,00","0,00",,,"330,38","0,00","0,00","330,38","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Venti 20oz, 1 Semidescremada]"
Starbucks Galería 360,1189508570,183569,Plataforma de entrega,Online,Entregado,2024-06-01 08:12,2024-06-01 08:12,,2024-06-01 08:17,2024-06-01 08:19,2024-06-01 08:27,,,,"705,00","0,00","0,00","0,00","0,00","112,80","0,00","0,00",,,"589,66","0,00","0,00","589,66","0,00","0,00","0,00","0,00","0,00","1 Espresso Frappuccino® [1 Venti 20oz, 1 Almond Milk], 1 Sandwich de Salchicha, Queso Cheddar & Huevo"
Starbucks Galería 360,1189508910,183569,Plataforma de entrega,Online,Entregado,2024-06-01 08:30,2024-06-01 08:31,,2024-06-01 08:31,2024-06-01 08:37,2024-06-01 08:46,,,,"490,00","0,00","0,00","0,00","0,00","78,40","0,00","0,00",,,"409,84","0,00","0,00","409,84","0,00","0,00","0,00","0,00","0,00","1 Café Latte [1 Caliente, 1 Semidescremada, 1 Grande 16oz], 1 Banana Nut Loaf"
Starbucks Galería 360,1189578521,183569,Plataforma de entrega,Online,Entregado,2024-06-01 09:09,2024-06-01 09:10,,2024-06-01 09:10,2024-06-01 09:31,2024-06-01 09:41,,,,"1.680,00","0,00","0,00","0,00","0,00","268,80","0,00","0,00",,,"1.405,15","0,00","0,00","1.405,15","244,50","0,00","244,50","0,00","0,00","1 Dragon Drink [1 Venti 20oz], 2 Croissant de Mantequilla, 1 Sandwich de Tocineta de Pavo Low-Fat & Huevo, 1 Sandwich de Salchicha, Queso Cheddar & Huevo, 1 Panini de Jamón y Queso Suizo"
Starbucks Galería 360,1189578785,183569,Plataforma de entrega,Online,Entregado,2024-06-01 09:15,2024-06-01 09:15,,2024-06-01 09:19,2024-06-01 09:34,2024-06-01 09:50,,,,"315,00","0,00","0,00","0,00","0,00","50,40","0,00","0,00",,,"263,47","0,00","0,00","263,47","0,00","0,00","0,00","0,00","0,00","1 Café Latte [1 Entera, 1 Grande 16oz, 1 Caliente]"
Starbucks Galería 360,1189578945,183569,Plataforma de entrega,Online,Entregado,2024-06-01 09:18,2024-06-01 09:18,,2024-06-01 09:26,2024-06-01 09:33,2024-06-01 09:41,,,,"510,00","0,00","0,00","0,00","0,00","81,60","194,70","0,00",,,"231,86","0,00","0,00","231,86","17,50","0,00","17,50","0,00","0,00","1 Caramel Macchiato [1 Fria, 1 Deslactosada, 1 Sin Azúcar, 1 Grande 16oz], 1 Croissant de Mantequilla"
Starbucks Galería 360,1189588830,183569,Plataforma de entrega,Online,Entregado,2024-06-01 10:09,2024-06-01 10:09,,2024-06-01 10:10,2024-06-01 10:13,2024-06-01 10:24,,,,"530,00","0,00","0,00","0,00","0,00","84,80","0,00","0,00",,,"443,29","0,00","0,00","443,29","32,50","0,00","32,50","0,00","0,00","1 Caramel Frappuccino [1 Venti 20oz, 1 Entera], 1 Brownie de Chocolate"
Starbucks Galería 360,1189590641,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 10:32,2024-06-01 10:32,,2024-06-01 10:33,2024-06-01 10:46,2024-06-01 10:56,,,,"895,00","0,00","0,00","0,00","0,00","143,20","0,00","0,00",,,"748,58","0,00","0,00","748,58","0,00","0,00","0,00","0,00","0,00","1 Café Latte [1 Caliente, 1 Almond Milk, 1 Venti 20oz], 1 Lemon Loaf, 1 Banana Nut Loaf, 1 Croissant de Mantequilla"
Starbucks Galería 360,1189602747,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 09:46,2024-06-01 09:47,,2024-06-01 09:48,2024-06-01 09:55,2024-06-01 10:15,,,,"590,00","0,00","0,00","0,00","0,00","94,40","0,00","0,00",,,"493,48","0,00","0,00","493,48","0,00","0,00","0,00","0,00","0,00","1 Americano [1 Fria, 1 Almond Milk, 1 Sin Azúcar, 1 Venti 20oz], 1 Iced Passion Tea® [1 Venti (20oz), 1 Si]"
Starbucks Galería 360,1189606592,183569,Plataforma de entrega,Online,Entregado,2024-06-01 10:42,2024-06-01 10:42,,2024-06-01 10:42,2024-06-01 10:59,2024-06-01 11:06,,,,"1.075,00","0,00","0,00","0,00","0,00","172,00","0,00","0,00",,,"899,13","0,00","0,00","899,13","0,00","0,00","0,00","0,00","0,00","1 Caramel Macchiato [1 Caramel, 1 Caramelo, 1 Mezclada, 1 Grande 16oz, 1 Fria, 1 Entera, 1 Crema], 1 Café Latte [1 Caramelo, 1 Grande 16oz, 1 Entera, 1 No, 1 Fria, 1 Caramel], 1 Sandwich de Salchicha, Queso Cheddar & Huevo"
Starbucks Galería 360,1189627237,183569,Plataforma de entrega,Online,Entregado,2024-06-01 11:25,2024-06-01 11:25,,2024-06-01 11:35,2024-06-01 11:40,2024-06-01 11:51,,,,"600,00","0,00","0,00","0,00","0,00","96,00","0,00","0,00",,,"501,84","0,00","0,00","501,84","17,50","0,00","17,50","0,00","0,00","1 Hot Chocolate [1 Entera, 1 Si, 1 Grande 16oz], 1 Sandwich de Salchicha, Queso Cheddar & Huevo"
